Area,Block,Restaurant,Category,Item,Variant,Price,Notes
CSE Block ,Apartment,LovelyBakeStudio,Pizza,Medium Italian Cheese,,200,
CSE Block ,Apartment,LovelyBakeStudio,Pizza,Medium Onion Cheese,,200,
CSE Block ,Apartment,LovelyBakeStudio,Pizza,Medium Mushroom,,200,
CSE Block ,Apartment,LovelyBakeStudio,Pizza,Medium Extravaganza,,220,
CSE Block ,Apartment,LovelyBakeStudio,Pizza,Medium Paneer Tikka,,230,
CSE Block ,Apartment,LovelyBakeStudio,Pasta,Penne Red Sauce,,200,
CSE Block ,Apartment,LovelyBakeStudio,Pasta,Penne White Sauce,,200,
CSE Block ,Apartment,LovelyBakeStudio,Pasta,Penne Mix Sauce,,200,
CSE Block ,Apartment,LovelyBakeStudio,Grilled Sandwich,Veg. N Corn Sandwich,,120,
CSE Block ,Apartment,LovelyBakeStudio,Grilled Sandwich,Sauteed Mushroom Sandwich,,130,
CSE Block ,Apartment,LovelyBakeStudio,Grilled Sandwich,Masala Paneer Tikka Sandwich,,160,
CSE Block ,Apartment,LovelyBakeStudio,Grilled Sandwich,Veg. Club Sandwich,,160,
CSE Block ,Apartment,LovelyBakeStudio,Maggi,Maggi Original,,70,
CSE Block ,Apartment,LovelyBakeStudio,Maggi,Maggi Onion,,80,
CSE Block ,Apartment,LovelyBakeStudio,Maggi,Maggi Veg Americano,,90,
CSE Block ,Apartment,LovelyBakeStudio,Maggi,Maggi Mushroom N Corn,,90,
CSE Block ,Apartment,LovelyBakeStudio,Noodles,Veg. Noodles,,100,
CSE Block ,Apartment,LovelyBakeStudio,Noodles,Veg. Hakka Noodles,,120,
CSE Block ,Apartment,LovelyBakeStudio,Noodles,Chilli Garlic Noodles,,130,
CSE Block ,Apartment,LovelyBakeStudio,Noodles,Singapore Noodles,,140,
CSE Block ,Apartment,LovelyBakeStudio,Noodles,Paneer Noodles,,150,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Chilli Thai Fries,,100,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Cheese Italian Fries,,110,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Veg. Fried Rice,,135,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Masala Fried Rice,,140,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Honey Chilli Potato,,140,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Chef Special Fried Rice,,150,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Veg. Manchurian,,150,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Mushroom Chilli,,150,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Mushroom Manchurian,,170,
CSE Block ,Apartment,LovelyBakeStudio,Chinese,Lemon Paneer,,180,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Hot Coffee,,95,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Espresso Shot (30 ml),,115,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Black Coffee,,125,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Cappuccino,,125,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Lovely Latte,,125,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Hot Chocolate,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,French Kiss,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Hazelnut Cappuccino,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Caramel Cappuccino,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Caramel Mocha,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Irish Cappuccino,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Lovely Mocha,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Spice Latte,,145,
CSE Block ,Apartment,LovelyBakeStudio,Hot Coffee,Triple Sec Mocha,,145,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Lovely Cold Coffee,,130,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Lovely Frappe,,150,
